account_id,days_past_due,amount_due,paid_on_time_ratio_12m,missed_payments_12m,contact_channel,prev_contacted,prev_response,risk_segment,repaid_30d
CUST-00081,65,970.71,0.658,1,email,1,1,late,1
CUST-00082,33,440.18,0.465,2,email,1,0,mid,0
CUST-00083,116,167.57,0.577,0,email,1,1,severe,0
CUST-00084,106,517.4,0.657,1,call,1,1,severe,0
CUST-00085,23,624.49,1.0,2,email,1,0,mid,1
CUST-00086,62,214.67,0.761,1,call,1,0,late,0
CUST-00087,113,20.0,0.907,2,email,1,1,severe,0
CUST-00088,102,20.25,0.52,4,whatsapp,0,0,severe,0
CUST-00089,85,692.94,0.791,4,email,1,0,severe,0
CUST-00090,77,237.32,0.854,2,email,1,0,severe,0
CUST-00091,6,434.77,1.0,1,sms,1,0,early,1
CUST-00092,90,548.02,0.581,2,whatsapp,0,0,severe,0
CUST-00093,57,678.13,0.841,6,whatsapp,1,0,late,0
CUST-00094,11,372.83,0.781,1,email,1,1,early,1
CUST-00095,30,639.59,0.516,3,whatsapp,0,0,mid,1
CUST-00096,65,195.18,0.716,5,whatsapp,1,0,late,1
CUST-00097,88,364.25,0.667,1,call,0,0,severe,1
CUST-00098,61,152.19,0.255,5,call,1,1,late,0
CUST-00099,74,842.17,0.84,3,call,1,0,late,0
CUST-00100,105,471.33,0.828,7,email,0,0,severe,0
CUST-00101,83,243.42,0.632,3,email,1,0,severe,0
CUST-00102,44,367.24,0.452,0,sms,0,0,mid,1
CUST-00103,78,409.05,1.0,3,email,1,1,severe,1
CUST-00104,72,704.17,0.773,2,email,0,0,late,0
CUST-00105,13,20.0,0.923,0,whatsapp,0,0,early,0
CUST-00106,8,148.09,1.0,3,whatsapp,0,0,early,0
CUST-00107,80,359.01,0.616,3,email,1,1,severe,1
CUST-00108,47,1290.34,0.882,4,email,0,0,late,0
CUST-00109,72,785.82,0.672,3,call,1,0,late,0
CUST-00110,39,444.34,0.707,1,sms,1,0,mid,1
CUST-00111,28,707.84,0.703,1,sms,1,0,mid,0
CUST-00112,19,1138.38,0.72,0,whatsapp,1,0,mid,0
CUST-00113,46,405.2,0.943,4,whatsapp,0,0,late,0
CUST-00114,98,362.75,0.745,5,whatsapp,0,0,severe,0
CUST-00115,49,867.82,0.689,4,sms,1,0,late,0
CUST-00116,46,638.14,0.665,4,call,0,0,late,0
CUST-00117,70,694.83,0.788,4,whatsapp,0,0,late,0
CUST-00118,118,317.37,0.541,0,whatsapp,1,1,severe,1
CUST-00119,48,1095.75,0.619,4,email,1,0,late,0
CUST-00120,71,1027.07,0.71,2,whatsapp,0,0,late,0
CUST-00121,53,661.1,0.607,2,whatsapp,1,1,late,0
CUST-00122,73,698.97,0.696,2,call,0,0,late,0
CUST-00123,54,20.0,0.598,3,whatsapp,1,1,late,0
CUST-00124,77,684.07,1.0,0,sms,1,1,severe,1
CUST-00125,66,417.89,0.986,0,email,1,0,late,0
CUST-00126,82,618.85,0.81,3,email,0,0,severe,0
CUST-00127,115,698.39,0.709,3,call,1,0,severe,0
CUST-00128,19,370.79,1.0,2,sms,0,0,mid,1
CUST-00129,68,20.0,0.785,3,whatsapp,0,0,late,0
CUST-00130,53,597.72,0.703,1,whatsapp,1,0,late,1
CUST-00131,43,242.76,0.781,1,email,0,0,mid,1
CUST-00132,29,374.34,0.781,2,sms,1,0,mid,1
CUST-00133,7,286.56,1.0,2,whatsapp,1,0,early,1
CUST-00134,49,370.7,0.716,1,whatsapp,1,0,late,1
CUST-00135,100,20.0,1.0,2,whatsapp,0,0,severe,0
CUST-00136,12,869.42,0.544,0,whatsapp,0,0,early,1
CUST-00137,49,561.07,0.859,2,whatsapp,0,0,late,0
CUST-00138,117,835.65,0.52,6,whatsapp,0,0,severe,0
CUST-00139,115,1113.55,1.0,1,email,1,1,severe,0
CUST-00140,26,487.23,0.654,2,sms,0,0,mid,1
CUST-00141,1,20.0,0.708,2,call,1,0,early,1
CUST-00142,81,193.96,0.905,2,sms,0,0,severe,1
CUST-00143,2,93.79,0.971,2,whatsapp,1,1,early,1
CUST-00144,37,319.4,0.498,4,call,1,0,mid,0
CUST-00145,60,505.49,0.651,1,email,1,0,late,0
CUST-00146,105,20.0,0.441,1,call,1,0,severe,0
CUST-00147,12,589.59,0.747,2,whatsapp,1,0,early,1
CUST-00148,80,20.0,0.7,0,call,1,1,severe,1
CUST-00149,64,575.16,0.65,1,email,1,1,late,0
CUST-00150,16,444.96,0.583,1,whatsapp,0,0,mid,1
CUST-00151,102,379.64,0.643,2,whatsapp,1,1,severe,0
CUST-00152,102,456.63,0.571,1,whatsapp,0,0,severe,0
CUST-00153,58,307.27,0.826,2,whatsapp,1,1,late,1
CUST-00154,114,284.01,1.0,2,whatsapp,1,1,severe,1
CUST-00155,73,20.0,0.334,0,whatsapp,1,0,late,0
CUST-00156,109,470.52,0.697,2,sms,0,0,severe,0
CUST-00157,116,1070.57,0.636,3,sms,0,0,severe,0
CUST-00158,69,1113.76,0.818,4,whatsapp,0,0,late,0
CUST-00159,34,902.98,0.53,2,whatsapp,1,1,mid,1
CUST-00160,18,705.86,0.691,1,whatsapp,0,0,mid,1
CUST-00161,68,263.53,0.512,6,whatsapp,1,1,late,0
CUST-00162,24,941.68,0.859,4,whatsapp,0,0,mid,1
CUST-00163,91,462.04,0.74,1,email,1,0,severe,0
CUST-00164,112,457.96,0.688,3,whatsapp,0,0,severe,0
CUST-00165,30,386.81,0.794,1,call,0,0,mid,0
CUST-00166,67,509.43,0.671,1,call,0,0,late,1
CUST-00167,6,340.73,0.409,0,email,1,0,early,1
CUST-00168,22,453.19,0.839,2,whatsapp,1,0,mid,1
CUST-00169,46,132.93,0.778,1,whatsapp,1,0,late,0
CUST-00170,107,360.43,0.689,3,sms,1,1,severe,0
CUST-00171,117,1209.78,0.917,1,call,0,0,severe,0
CUST-00172,77,457.73,0.964,3,call,1,0,severe,1
CUST-00173,71,403.63,0.502,1,email,1,0,late,0
CUST-00174,69,650.36,0.564,3,call,1,1,late,0
CUST-00175,8,706.6,1.0,2,whatsapp,1,0,early,0
CUST-00176,46,123.59,1.0,4,sms,1,0,late,1
CUST-00177,118,413.71,0.572,3,sms,1,1,severe,0
CUST-00178,50,773.85,0.484,4,whatsapp,0,0,late,0
CUST-00179,26,566.35,0.592,6,sms,0,0,mid,0
CUST-00180,29,519.03,0.62,3,sms,0,0,mid,0
CUST-00181,86,977.29,0.403,0,call,1,1,severe,0
CUST-00182,5,263.11,0.726,2,whatsapp,0,0,early,1
CUST-00183,117,506.48,0.464,3,whatsapp,0,0,severe,0
CUST-00184,106,313.58,0.478,0,whatsapp,0,0,severe,0
CUST-00185,69,956.9,0.903,2,whatsapp,0,0,late,0
CUST-00186,57,20.0,0.583,1,whatsapp,0,0,late,1
CUST-00187,92,265.55,0.706,1,whatsapp,0,0,severe,0
CUST-00188,66,310.67,0.846,2,call,1,0,late,0
CUST-00189,58,692.33,0.883,2,whatsapp,0,0,late,0
CUST-00190,39,674.01,0.653,2,sms,0,0,mid,0
CUST-00191,54,926.46,0.729,2,whatsapp,0,0,late,1
CUST-00192,91,20.0,0.555,3,whatsapp,1,1,severe,0
CUST-00193,7,720.15,1.0,2,whatsapp,1,1,early,0
CUST-00194,4,386.15,0.85,3,sms,1,1,early,1
CUST-00195,87,267.0,0.499,4,whatsapp,0,0,severe,0
CUST-00196,45,652.66,0.721,3,whatsapp,1,0,mid,1
CUST-00197,97,185.56,0.863,3,sms,0,0,severe,1
CUST-00198,4,20.0,0.816,2,whatsapp,1,1,early,1
CUST-00199,109,361.53,1.0,3,call,0,0,severe,1
CUST-00200,15,20.0,0.994,1,whatsapp,1,0,early,1
CUST-00201,50,272.35,0.612,2,sms,1,0,late,1
CUST-00202,117,598.9,0.702,2,call,1,0,severe,0
CUST-00203,14,579.84,0.464,0,whatsapp,1,0,early,0
CUST-00204,79,987.81,0.77,3,whatsapp,1,0,severe,0
CUST-00205,88,416.11,0.75,2,sms,1,0,severe,1
CUST-00206,52,20.0,1.0,0,email,1,0,late,1
CUST-00207,10,238.05,0.74,1,sms,0,0,early,1
CUST-00208,63,185.8,0.301,1,whatsapp,1,1,late,0
CUST-00209,53,90.3,0.586,2,email,0,0,late,1
CUST-00210,105,619.32,0.742,2,sms,0,0,severe,0
CUST-00211,82,273.53,0.469,0,whatsapp,1,1,severe,1
CUST-00212,42,20.0,0.547,3,email,0,0,mid,1
CUST-00213,7,703.02,0.647,0,call,1,1,early,1
CUST-00214,71,444.34,0.788,0,sms,1,0,late,1
CUST-00215,34,594.19,0.687,4,sms,1,1,mid,1
CUST-00216,83,513.83,0.542,1,email,1,0,severe,0
CUST-00217,104,682.13,0.878,2,sms,1,0,severe,0
CUST-00218,43,492.17,0.612,3,whatsapp,0,0,mid,1
CUST-00219,109,875.58,0.62,2,call,0,0,severe,0
CUST-00220,63,615.99,0.444,1,whatsapp,1,1,late,1
CUST-00221,64,605.46,0.563,2,email,0,0,late,0
CUST-00222,92,611.16,0.85,3,sms,0,0,severe,1
CUST-00223,95,20.0,0.396,1,email,0,0,severe,1
CUST-00224,110,427.32,0.706,2,sms,0,0,severe,0
CUST-00225,120,397.02,0.864,3,email,1,1,severe,1
CUST-00226,19,546.41,0.645,2,sms,1,0,mid,0
CUST-00227,50,45.22,0.768,2,whatsapp,0,0,late,1
CUST-00228,113,1002.92,0.497,5,email,0,0,severe,0
CUST-00229,37,513.4,0.982,2,email,1,0,mid,1
CUST-00230,1,92.38,0.94,3,sms,1,1,early,1
CUST-00231,70,20.0,0.767,3,call,1,1,late,0
CUST-00232,91,389.99,0.369,0,email,0,0,severe,0
CUST-00233,90,451.3,0.511,1,call,1,0,severe,0
CUST-00234,98,250.15,0.915,1,whatsapp,0,0,severe,0
CUST-00235,78,509.48,1.0,1,call,1,1,severe,1
CUST-00236,17,274.82,0.779,4,email,0,0,mid,1
CUST-00237,102,656.53,0.969,2,call,0,0,severe,1
CUST-00238,51,248.15,0.598,1,whatsapp,0,0,late,0
CUST-00239,102,467.68,0.682,1,sms,1,0,severe,0
CUST-00240,98,793.23,0.72,1,call,1,0,severe,0
CUST-00241,117,1302.93,0.805,2,email,1,1,severe,0
CUST-00242,2,157.55,0.414,1,whatsapp,1,1,early,0
CUST-00243,104,331.36,0.908,1,whatsapp,1,0,severe,0
CUST-00244,76,211.25,0.985,1,call,1,1,severe,0
CUST-00245,59,730.99,0.49,3,email,0,0,late,1
CUST-00246,96,112.61,0.449,2,whatsapp,0,0,severe,0
CUST-00247,115,325.01,0.79,3,whatsapp,1,1,severe,0
CUST-00248,62,470.53,0.589,1,sms,1,0,late,1
CUST-00249,11,166.82,0.246,4,whatsapp,1,0,early,1
CUST-00250,88,173.66,0.882,3,sms,1,0,severe,0
CUST-00251,28,327.8,0.751,1,email,0,0,mid,0
CUST-00252,28,20.0,0.625,2,whatsapp,0,0,mid,1
CUST-00253,24,20.0,1.0,2,whatsapp,0,0,mid,0
CUST-00254,24,347.83,0.748,0,call,0,0,mid,0
CUST-00255,110,527.43,0.569,2,whatsapp,0,0,severe,1
CUST-00256,44,420.56,0.74,1,whatsapp,0,0,mid,0
CUST-00257,13,20.0,0.512,1,email,1,1,early,1
CUST-00258,22,331.59,0.568,3,email,0,0,mid,0
CUST-00259,48,735.5,0.797,0,sms,1,1,late,0
CUST-00260,42,657.88,0.609,1,call,0,0,mid,0
CUST-00261,38,454.8,0.63,1,whatsapp,1,1,mid,0
CUST-00262,114,196.04,1.0,3,whatsapp,0,0,severe,1
CUST-00263,104,681.99,0.892,4,email,1,1,severe,0
CUST-00264,69,294.74,0.881,1,email,0,0,late,0
CUST-00265,119,105.84,0.826,1,whatsapp,1,0,severe,0
CUST-00266,41,223.3,0.817,1,sms,0,0,mid,0
CUST-00267,17,943.47,1.0,1,whatsapp,1,0,mid,1
CUST-00268,33,550.46,0.716,3,whatsapp,0,0,mid,1
CUST-00269,11,850.96,1.0,1,sms,0,0,early,1
CUST-00270,115,326.61,0.53,1,call,0,0,severe,0
CUST-00271,27,780.21,0.669,1,whatsapp,0,0,mid,1
CUST-00272,54,287.52,0.444,1,whatsapp,1,1,late,0
CUST-00273,25,429.62,0.651,3,whatsapp,0,0,mid,0
CUST-00274,118,1275.63,0.824,3,whatsapp,1,0,severe,0
CUST-00275,19,725.49,1.0,5,email,0,0,mid,1
CUST-00276,62,319.63,0.587,0,email,0,0,late,0
CUST-00277,115,452.86,0.721,2,email,1,1,severe,0
CUST-00278,63,584.39,0.648,0,call,1,1,late,0
CUST-00279,108,867.35,0.572,0,email,0,0,severe,0
CUST-00280,108,323.48,0.482,1,email,1,0,severe,0
CUST-00281,93,20.0,0.732,2,sms,0,0,severe,0
CUST-00282,90,390.51,0.374,2,email,1,1,severe,0
CUST-00283,70,484.92,0.742,1,email,0,0,late,0
CUST-00284,70,515.05,0.724,1,call,0,0,late,0
CUST-00285,100,901.34,0.588,1,whatsapp,1,0,severe,1
CUST-00286,52,581.34,0.518,1,email,1,0,late,0
CUST-00287,114,740.13,0.443,3,whatsapp,0,0,severe,0
CUST-00288,106,127.64,1.0,2,whatsapp,0,0,severe,1
CUST-00289,45,757.73,0.452,0,call,1,0,mid,0
CUST-00290,50,1150.79,1.0,2,sms,1,0,late,1
CUST-00291,86,727.33,0.84,4,sms,0,0,severe,0
CUST-00292,111,561.14,0.647,1,whatsapp,0,0,severe,0
CUST-00293,12,529.28,0.489,2,sms,0,0,early,0
CUST-00294,9,1051.89,0.928,2,whatsapp,0,0,early,0
CUST-00295,30,183.3,1.0,3,sms,1,0,mid,1
CUST-00296,52,444.45,0.533,4,call,0,0,late,1
CUST-00297,20,627.27,0.66,1,email,1,1,mid,1
CUST-00298,63,718.08,0.93,0,email,1,0,late,1
CUST-00299,65,340.06,0.787,2,sms,1,1,late,1
CUST-00300,115,578.34,1.0,1,whatsapp,0,0,severe,0
CUST-00301,90,391.07,0.606,4,email,0,0,severe,0
CUST-00302,31,518.55,0.828,3,sms,1,0,mid,1
CUST-00303,95,437.73,0.47,1,whatsapp,1,0,severe,0
CUST-00304,97,114.69,1.0,1,sms,0,0,severe,0
CUST-00305,82,473.24,0.574,1,call,0,0,severe,0
CUST-00306,82,760.69,0.278,3,email,1,0,severe,0
CUST-00307,38,170.55,0.695,2,email,0,0,mid,1
CUST-00308,87,402.85,0.692,1,whatsapp,0,0,severe,0
CUST-00309,17,692.73,1.0,1,email,0,0,mid,1
CUST-00310,76,137.64,0.652,2,sms,1,0,severe,0
CUST-00311,111,538.44,0.717,3,email,0,0,severe,0
CUST-00312,117,140.76,0.839,2,sms,1,0,severe,0
CUST-00313,36,843.08,1.0,1,email,0,0,mid,1
CUST-00314,40,1220.1,0.707,1,whatsapp,0,0,mid,1
CUST-00315,75,1127.12,0.928,2,whatsapp,0,0,late,0
CUST-00316,48,409.86,0.824,2,whatsapp,0,0,late,0
CUST-00317,88,716.86,0.661,0,whatsapp,1,0,severe,0
CUST-00318,25,518.72,0.736,2,email,1,0,mid,0
CUST-00319,21,512.67,0.726,5,whatsapp,0,0,mid,1
CUST-00320,7,975.28,0.537,2,whatsapp,1,1,early,1
CUST-00321,57,57.86,0.963,1,sms,0,0,late,1
CUST-00322,26,817.69,0.443,1,whatsapp,0,0,mid,1
CUST-00323,36,464.33,0.954,1,email,1,0,mid,0
CUST-00324,110,930.73,0.911,3,whatsapp,0,0,severe,0
CUST-00325,98,539.91,0.701,3,whatsapp,1,1,severe,0
CUST-00326,101,264.74,0.567,3,sms,0,0,severe,0
CUST-00327,72,568.68,0.675,1,call,0,0,late,1
CUST-00328,14,715.51,0.815,1,whatsapp,1,0,early,1
CUST-00329,90,491.44,0.869,2,whatsapp,0,0,severe,0
CUST-00330,73,636.17,0.777,2,whatsapp,1,0,late,0
CUST-00331,110,313.06,0.918,1,email,1,0,severe,0
CUST-00332,58,20.0,0.609,2,call,0,0,late,1
CUST-00333,21,768.01,0.767,2,whatsapp,0,0,mid,0
CUST-00334,72,703.73,0.406,5,whatsapp,1,0,late,0
CUST-00335,55,527.42,0.873,2,whatsapp,0,0,late,0
CUST-00336,80,501.89,0.751,2,whatsapp,1,0,severe,1
CUST-00337,46,811.61,0.637,3,email,0,0,late,0
CUST-00338,37,333.73,0.952,1,email,1,0,mid,0
CUST-00339,16,253.91,0.858,2,email,0,0,mid,1
CUST-00340,116,419.66,0.157,0,sms,1,0,severe,0
CUST-00341,91,860.51,0.728,2,sms,1,0,severe,0
CUST-00342,56,36.12,0.429,1,call,1,1,late,0
CUST-00343,29,861.39,0.933,0,whatsapp,1,0,mid,1
CUST-00344,76,275.44,1.0,1,whatsapp,0,0,severe,1
CUST-00345,50,127.76,0.616,1,whatsapp,0,0,late,1
CUST-00346,77,883.22,0.735,3,email,0,0,severe,0
CUST-00347,11,449.0,0.67,1,sms,1,0,early,1
CUST-00348,23,63.93,0.79,0,email,1,1,mid,0
CUST-00349,89,365.21,0.849,1,email,0,0,severe,1
CUST-00350,8,777.94,0.977,1,email,1,1,early,0
CUST-00351,82,861.46,0.523,2,sms,0,0,severe,0
CUST-00352,50,343.33,1.0,2,whatsapp,1,1,late,1
CUST-00353,1,610.02,0.534,2,whatsapp,0,0,early,1
CUST-00354,92,708.51,0.775,2,sms,0,0,severe,0
CUST-00355,84,273.72,0.952,3,whatsapp,0,0,severe,0
CUST-00356,98,593.61,0.863,2,call,1,1,severe,0
CUST-00357,108,469.8,0.532,2,email,0,0,severe,1
CUST-00358,88,308.47,0.58,6,whatsapp,1,1,severe,0
CUST-00359,101,322.51,0.628,1,sms,1,0,severe,0
CUST-00360,14,501.45,0.71,0,sms,1,1,early,1
CUST-00361,111,489.55,0.949,1,email,0,0,severe,1
CUST-00362,110,299.04,0.462,3,call,0,0,severe,0
CUST-00363,84,343.7,0.813,1,whatsapp,0,0,severe,0
CUST-00364,97,836.27,0.842,1,email,1,0,severe,0
CUST-00365,89,548.42,0.832,2,sms,1,0,severe,0
CUST-00366,106,763.23,0.813,3,call,1,1,severe,0
CUST-00367,107,864.58,1.0,2,whatsapp,0,0,severe,0
CUST-00368,63,668.43,0.818,0,email,0,0,late,0
CUST-00369,98,1206.68,0.891,3,whatsapp,1,0,severe,0
CUST-00370,110,215.9,0.833,4,sms,1,0,severe,0
CUST-00371,36,738.69,1.0,1,call,1,1,mid,0
CUST-00372,6,378.19,0.34,1,email,0,0,early,0
CUST-00373,21,1073.85,0.976,1,whatsapp,1,1,mid,1
CUST-00374,4,1024.14,0.668,2,call,0,0,early,1
CUST-00375,53,20.0,0.664,1,sms,1,1,late,0
CUST-00376,3,169.96,0.526,2,sms,1,0,early,1
CUST-00377,32,692.58,0.346,1,call,1,1,mid,0
CUST-00378,31,732.76,0.644,3,sms,0,0,mid,1
CUST-00379,85,715.7,0.583,0,whatsapp,1,0,severe,0
CUST-00380,30,457.32,0.819,0,sms,1,0,mid,1
CUST-00381,114,625.64,0.426,3,email,0,0,severe,0
CUST-00382,23,688.97,1.0,2,sms,0,0,mid,1
CUST-00383,117,455.08,0.774,2,whatsapp,1,0,severe,0
CUST-00384,69,808.74,0.67,2,sms,1,1,late,0
CUST-00385,30,20.0,0.578,1,whatsapp,1,1,mid,0
CUST-00386,5,682.81,0.563,2,whatsapp,1,1,early,0
CUST-00387,37,149.1,0.494,2,whatsapp,0,0,mid,0
CUST-00388,71,786.78,0.611,2,sms,1,0,late,1
CUST-00389,14,406.82,0.721,1,whatsapp,0,0,early,0
CUST-00390,20,195.59,0.685,0,whatsapp,0,0,mid,1
CUST-00391,14,599.65,0.437,1,email,0,0,early,1
CUST-00392,82,188.37,0.667,4,email,1,1,severe,0
CUST-00393,11,187.91,0.541,2,email,1,0,early,0
CUST-00394,3,20.0,0.752,1,whatsapp,1,0,early,1
CUST-00395,55,471.45,1.0,4,email,0,0,late,0
CUST-00396,38,638.98,0.845,1,whatsapp,0,0,mid,1
CUST-00397,69,807.37,0.657,1,sms,0,0,late,1
CUST-00398,113,434.65,0.395,2,sms,1,0,severe,0
CUST-00399,103,815.31,0.437,2,sms,0,0,severe,0
CUST-00400,65,485.75,0.383,2,sms,1,0,late,0
CUST-00401,78,450.15,0.865,3,call,0,0,severe,1
CUST-00402,98,663.54,0.567,1,email,1,1,severe,0
CUST-00403,53,818.69,0.733,1,whatsapp,0,0,late,0
CUST-00404,79,370.74,0.596,0,email,0,0,severe,0
CUST-00405,26,402.0,0.738,4,whatsapp,1,0,mid,1
CUST-00406,74,428.53,1.0,2,email,1,1,late,1
CUST-00407,29,506.49,0.583,1,sms,1,1,mid,0
CUST-00408,23,191.87,0.652,2,whatsapp,1,0,mid,1
CUST-00409,92,808.96,0.559,2,email,0,0,severe,0
CUST-00410,69,351.87,0.895,1,whatsapp,0,0,late,0
CUST-00411,46,627.98,0.515,3,whatsapp,0,0,late,0
CUST-00412,5,215.85,0.493,2,whatsapp,1,0,early,1
CUST-00413,29,594.82,0.442,1,sms,0,0,mid,0
CUST-00414,97,605.31,0.438,2,email,0,0,severe,0
CUST-00415,57,345.38,0.814,2,whatsapp,1,1,late,0
CUST-00416,116,1126.68,1.0,1,sms,0,0,severe,1
CUST-00417,109,598.73,0.521,2,call,0,0,severe,0
CUST-00418,103,1048.62,0.91,1,call,0,0,severe,0
CUST-00419,2,786.92,0.77,1,email,0,0,early,1
CUST-00420,7,268.07,0.5,4,whatsapp,1,0,early,1
CUST-00421,70,357.7,0.665,4,sms,1,1,late,0
CUST-00422,41,619.55,0.673,1,email,1,1,mid,1
CUST-00423,102,499.58,0.582,1,call,0,0,severe,1
CUST-00424,39,495.83,1.0,3,call,1,0,mid,0
CUST-00425,19,388.41,0.339,0,sms,1,0,mid,0
CUST-00426,14,20.0,0.796,4,whatsapp,1,1,early,1
CUST-00427,37,407.86,0.786,1,whatsapp,1,0,mid,0
CUST-00428,76,20.0,0.604,1,email,1,0,severe,0
CUST-00429,16,598.98,0.75,3,call,1,0,mid,1
CUST-00430,96,247.66,0.896,2,sms,1,0,severe,0
CUST-00431,37,251.07,0.751,4,sms,1,1,mid,1
CUST-00432,38,409.82,0.803,1,email,0,0,mid,1
CUST-00433,80,567.26,0.859,2,sms,1,0,severe,0
CUST-00434,104,21.76,0.314,2,sms,0,0,severe,0
CUST-00435,53,20.0,1.0,0,whatsapp,0,0,late,1
CUST-00436,96,138.86,1.0,1,whatsapp,1,0,severe,1
CUST-00437,37,20.0,0.916,4,sms,1,0,mid,0
CUST-00438,16,170.61,0.923,0,whatsapp,1,0,mid,1
CUST-00439,100,989.08,0.438,1,whatsapp,1,0,severe,0
CUST-00440,93,141.89,0.696,0,call,0,0,severe,0
CUST-00441,91,688.45,0.558,5,email,1,1,severe,0
CUST-00442,106,41.08,0.603,1,sms,1,0,severe,0
